default_flag,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_msinie,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,sy_dist
0,1,1,9,5.2085099999999995,0.059000000000000004,4969.705454545454,0.071,5150.0,1.78,1.01,4.0,766.183
1,1,1,9,5.2085099999999995,0.0603,4940.811818181818,0.047,5150.0,1.78,1.01,3.6,766.183
0,1,1,9,2.8505615,0.04945,4911.918181818181,0.0645,5268.0,1.08,0.9,4.33,806.507
1,1,1,9,2.8505700000000003,0.0386,4883.024545454546,0.08199999999999999,5260.0,0.9,0.97,4.3,806.507
0,1,1,9,2.8505700000000003,0.039,4854.130909090909,0.12,5260.0,0.9,0.97,4.273333333333333,806.507
0,1,1,9,4.2567994,0.0574,4825.237272727272,0.016,6740.0,1.56,1.37,4.246666666666666,768.7710000000001
1,1,1,9,4.2568,0.05717,4796.3436363636365,0.0,6740.0,1.56,1.37,4.22,768.7710000000001
0,1,1,9,4.2567994,0.05694,4767.45,0.008,6649.0,1.54,1.36,4.234999999999999,768.7710000000001
0,1,1,9,4.2567994,0.05738499999999999,4738.556363636363,0.007666666666666666,6558.0,1.44,1.41,4.25,768.7710000000001
0,1,1,9,4.2567994,0.05782999999999999,4709.662727272727,0.007333333333333333,6740.0,1.57,1.4,4.19,768.7710000000001
1,1,1,9,9.06005,0.0844,4680.769090909091,0.006999999999999999,5650.0,0.91,0.98,4.4,1032.23
1,1,1,9,4.62941,0.0586,4651.875454545454,0.02,5700.0,2.15,1.25,3.85,2005.76
0,1,1,9,9.20205,0.09025,4622.981818181818,0.14,6190.0,1.17,1.16,4.13,726.4119999999999
1,1,1,9,9.20205,0.09,4594.0881818181815,0.0,6190.0,1.17,1.16,4.41,726.4119999999999
0,1,1,9,9.20205,0.0912,4565.194545454546,0.03,6190.0,1.15,1.19,4.4,726.4119999999999
0,1,1,9,4.0378962,0.05004,4536.300909090909,0.06,6100.0,1.05,1.02,4.41,882.472
1,1,1,9,4.0378962,0.04947,4507.407272727272,0.09,6100.0,1.19,1.0,4.19,882.472
0,1,1,9,4.0379156,0.0495,4478.513636363637,0.0885,6100.0,1.11,0.99,4.34,882.472
